,IC8,NC7H16,C6H5CH3,C6H12-1,T124MBZ
A1,0,100,0,0,0
A2,20,80,0,0,0
A3,40,60,0,0,0
A4,60,40,0,0,0
A5,80,20,0,0,0
A6,100,0,0,0,0
