time_iso8601,stars_cumulative
2019-09-13 00:00:00+00:00,1
2019-09-22 00:00:00+00:00,2
2019-10-27 00:00:00+00:00,3
2020-02-05 00:00:00+00:00,4
2020-04-14 00:00:00+00:00,5
2020-04-15 00:00:00+00:00,6
2020-05-02 00:00:00+00:00,7
2020-05-14 00:00:00+00:00,8
2020-08-12 00:00:00+00:00,9
2020-09-08 00:00:00+00:00,10
2020-10-13 00:00:00+00:00,11
2020-10-19 00:00:00+00:00,12
2020-12-18 00:00:00+00:00,13
2020-12-20 00:00:00+00:00,14
2020-12-21 00:00:00+00:00,15
2021-02-18 00:00:00+00:00,16
2021-04-04 00:00:00+00:00,17
2021-05-25 00:00:00+00:00,18
2021-05-27 00:00:00+00:00,19
2021-06-17 00:00:00+00:00,20
2021-06-20 00:00:00+00:00,21
2021-08-11 00:00:00+00:00,22
2021-10-07 00:00:00+00:00,23
2021-12-01 00:00:00+00:00,24
2022-03-30 00:00:00+00:00,25
2022-11-28 00:00:00+00:00,26
2023-02-23 00:00:00+00:00,27
2023-02-24 00:00:00+00:00,28
2023-02-27 00:00:00+00:00,29
2023-03-07 00:00:00+00:00,30
2023-03-16 00:00:00+00:00,31
2023-05-31 00:00:00+00:00,32
2024-01-24 00:00:00+00:00,33
2024-02-23 00:00:00+00:00,34
2024-04-15 00:00:00+00:00,35
2024-05-11 00:00:00+00:00,36
2024-08-30 00:00:00+00:00,37
2024-12-30 00:00:00+00:00,38
2025-02-14 00:00:00+00:00,39
2025-05-05 00:00:00+00:00,40
2025-08-03 00:00:00+00:00,41
2026-01-08 00:00:00+00:00,42
