#solve_number  reactors_solved      n_steps_avg         max_time        step_time   max_time_total
            0               32              160         0.129748      2.53414e-05         0.129748
            1               32               71        0.0674748      2.96984e-05        0.0674748
            2               32               80        0.0739908      2.89027e-05        0.0739908
            3               32               80         0.074476      2.90922e-05         0.074476
            4               32              132         0.117452      2.78058e-05         0.117452
            5               32              209         0.192949        2.885e-05         0.192949
            6               32               72        0.0777931      3.37644e-05        0.0777931
            7               32               44        0.0584393      4.15052e-05        0.0584393
            8               32               30        0.0337181       3.5123e-05        0.0337181
            9               32               14        0.0184422      4.11655e-05        0.0184422
