#solve_number  reactors_solved            n_cpu            n_gpu     n_gpu_groups      n_steps_avg  n_steps_avg_cpu  n_steps_avg_gpu     max_time_cpu     max_time_gpu    step_time_cpu    step_time_gpu   max_time_total
            0               32               32                0                0              420              420                0          4.56413                0      0.000339467                0          4.56413
            1               32               32                0                0               59               59                0         0.910252                0      0.000481615                0         0.910252
            2               32               32                0                0               60               60                0          1.03789                0      0.000540284                0          1.03789
            3               32               32                0                0               96               96                0          1.62372                0      0.000527183                0          1.62372
            4               32               32                0                0              765              765                0          12.5702                0       0.00051305                0          12.5702
            5               32               32                0                0              437              437                0          5.42383                0       0.00038714                0          5.42383
            6               32               32                0                0               34               34                0          0.80606                0      0.000740864                0          0.80606
            7               32               32                0                0                6                6                0         0.295789                0       0.00133238                0         0.295789
            8               32               32                0                0                5                5                0         0.189064                0        0.0011599                0         0.189064
            9               32               32                0                0                8                8                0         0.303983                0       0.00106288                0         0.303983
