time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-06 00:00:00+00:00,33,14,28,8
2026-08-07 00:00:00+00:00,6,5,9,4
2026-08-08 00:00:00+00:00,4,3,1,1
2026-08-09 00:00:00+00:00,14,9,1,1
2026-08-10 00:00:00+00:00,14,11,2,2
2026-08-11 00:00:00+00:00,3,3,1,1
2026-08-12 00:00:00+00:00,23,10,2,1
2026-08-13 00:00:00+00:00,11,6,28,3
2026-08-14 00:00:00+00:00,4,4,9,5
2026-08-15 00:00:00+00:00,20,9,0,0
2026-08-16 00:00:00+00:00,7,6,9,3
2026-08-17 00:00:00+00:00,3,3,18,6
2026-08-18 00:00:00+00:00,4,4,5,4
2026-08-19 00:00:00+00:00,5,5,1,1
