time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-20 00:00:00+00:00,8,5,59,7
2026-08-21 00:00:00+00:00,9,7,26,7
2026-08-22 00:00:00+00:00,5,3,3,2
2026-08-23 00:00:00+00:00,2,2,7,3
2026-08-24 00:00:00+00:00,5,4,1,1
2026-08-25 00:00:00+00:00,15,13,9,8
2026-08-26 00:00:00+00:00,10,7,12,4
2026-08-27 00:00:00+00:00,12,6,2,2
2026-08-28 00:00:00+00:00,4,4,1,1
2026-08-29 00:00:00+00:00,4,4,3,3
2026-08-30 00:00:00+00:00,2,2,1,1
2026-08-31 00:00:00+00:00,8,5,28,10
2026-09-01 00:00:00+00:00,7,6,28,3
2026-09-02 00:00:00+00:00,9,7,13,5
