time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-01 00:00:00+00:00,10,4,0,0
2026-02-02 00:00:00+00:00,18,8,20,6
2026-02-03 00:00:00+00:00,13,7,14,4
2026-02-04 00:00:00+00:00,17,7,20,6
2026-02-05 00:00:00+00:00,19,9,55,11
2026-02-06 00:00:00+00:00,23,13,2,2
2026-02-07 00:00:00+00:00,13,7,1,1
2026-02-08 00:00:00+00:00,19,9,7,4
2026-02-09 00:00:00+00:00,9,7,19,5
2026-02-10 00:00:00+00:00,20,8,39,6
2026-02-11 00:00:00+00:00,12,7,10,4
2026-02-12 00:00:00+00:00,11,5,16,6
2026-02-13 00:00:00+00:00,25,11,0,0
2026-02-14 00:00:00+00:00,22,12,3,3
