time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-13 00:00:00+00:00,25,11,0,0
2026-02-14 00:00:00+00:00,22,12,3,3
2026-02-15 00:00:00+00:00,13,8,0,0
2026-02-16 00:00:00+00:00,15,8,9,1
2026-02-17 00:00:00+00:00,17,7,0,0
2026-02-18 00:00:00+00:00,7,5,10,7
2026-02-19 00:00:00+00:00,18,12,3,3
2026-02-20 00:00:00+00:00,20,10,23,5
2026-02-21 00:00:00+00:00,16,10,45,3
2026-02-22 00:00:00+00:00,17,11,0,0
2026-02-23 00:00:00+00:00,16,10,11,4
2026-02-24 00:00:00+00:00,7,5,28,6
2026-02-25 00:00:00+00:00,12,6,14,5
2026-02-26 00:00:00+00:00,18,11,2,2
