time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-09 00:00:00+00:00,26,13,69,4
2026-05-10 00:00:00+00:00,29,10,14,4
2026-05-11 00:00:00+00:00,14,9,1,1
2026-05-12 00:00:00+00:00,13,8,3,3
2026-05-13 00:00:00+00:00,22,7,9,6
2026-05-14 00:00:00+00:00,17,6,8,1
2026-05-15 00:00:00+00:00,17,8,41,4
2026-05-16 00:00:00+00:00,32,15,53,3
2026-05-17 00:00:00+00:00,36,15,51,1
2026-05-18 00:00:00+00:00,35,15,5,5
2026-05-19 00:00:00+00:00,36,16,38,4
2026-05-20 00:00:00+00:00,25,12,6,3
2026-05-21 00:00:00+00:00,13,8,30,3
2026-05-22 00:00:00+00:00,25,12,4,4
