time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-28 00:00:00+00:00,11,5,0,0
2026-03-29 00:00:00+00:00,10,4,1,1
2026-03-30 00:00:00+00:00,7,5,1,1
2026-03-31 00:00:00+00:00,15,8,12,3
2026-04-01 00:00:00+00:00,10,6,9,2
2026-04-02 00:00:00+00:00,14,8,5,2
2026-04-03 00:00:00+00:00,6,6,12,7
2026-04-04 00:00:00+00:00,13,7,1,1
2026-04-05 00:00:00+00:00,20,9,1,1
2026-04-06 00:00:00+00:00,16,9,2,2
2026-04-07 00:00:00+00:00,14,8,3,3
2026-04-08 00:00:00+00:00,8,4,31,7
2026-04-09 00:00:00+00:00,3,3,4,4
2026-04-10 00:00:00+00:00,39,14,24,5
