time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-01 00:00:00+00:00,17,7,8,1
2026-08-02 00:00:00+00:00,36,6,3,2
2026-08-03 00:00:00+00:00,16,5,1,1
2026-08-04 00:00:00+00:00,3,3,42,7
2026-08-05 00:00:00+00:00,16,9,11,3
2026-08-06 00:00:00+00:00,33,14,28,8
2026-08-07 00:00:00+00:00,6,5,9,4
2026-08-08 00:00:00+00:00,4,3,1,1
2026-08-09 00:00:00+00:00,14,9,1,1
2026-08-10 00:00:00+00:00,14,11,2,2
2026-08-11 00:00:00+00:00,3,3,1,1
2026-08-12 00:00:00+00:00,23,10,2,1
2026-08-13 00:00:00+00:00,11,6,28,3
2026-08-14 00:00:00+00:00,4,4,9,5
