time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-28 00:00:00+00:00,9,4,1,1
2026-07-29 00:00:00+00:00,15,3,2,2
2026-07-30 00:00:00+00:00,3,3,17,4
2026-07-31 00:00:00+00:00,5,3,2,2
2026-08-01 00:00:00+00:00,17,7,8,1
2026-08-02 00:00:00+00:00,36,6,3,2
2026-08-03 00:00:00+00:00,16,5,1,1
2026-08-04 00:00:00+00:00,3,3,42,7
2026-08-05 00:00:00+00:00,16,9,11,3
2026-08-06 00:00:00+00:00,33,14,28,8
2026-08-07 00:00:00+00:00,6,5,9,4
2026-08-08 00:00:00+00:00,4,3,1,1
2026-08-09 00:00:00+00:00,14,9,1,1
2026-08-10 00:00:00+00:00,14,11,2,2
