time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-04 00:00:00+00:00,19,9,2,1
2026-07-05 00:00:00+00:00,16,10,1,1
2026-07-06 00:00:00+00:00,15,6,27,2
2026-07-07 00:00:00+00:00,28,12,22,8
2026-07-08 00:00:00+00:00,15,11,91,11
2026-07-09 00:00:00+00:00,17,8,6,4
2026-07-10 00:00:00+00:00,19,14,11,3
2026-07-11 00:00:00+00:00,22,8,1,1
2026-07-12 00:00:00+00:00,19,7,23,2
2026-07-13 00:00:00+00:00,2,2,31,5
2026-07-14 00:00:00+00:00,4,4,2,2
2026-07-15 00:00:00+00:00,16,7,4,4
2026-07-16 00:00:00+00:00,1,1,9,3
2026-07-17 00:00:00+00:00,8,7,1,1
