time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-07 00:00:00+00:00,31,24,3,2
2026-09-08 00:00:00+00:00,13,11,15,6
2026-09-09 00:00:00+00:00,14,12,1,1
2026-09-10 00:00:00+00:00,11,9,4,3
2026-09-11 00:00:00+00:00,6,5,3,3
2026-09-12 00:00:00+00:00,7,7,1,1
2026-09-13 00:00:00+00:00,9,8,4,4
2026-09-14 00:00:00+00:00,5,5,1,1
2026-09-15 00:00:00+00:00,7,6,33,6
2026-09-16 00:00:00+00:00,9,5,18,6
2026-09-17 00:00:00+00:00,7,6,21,4
2026-09-18 00:00:00+00:00,26,14,2,2
2026-09-19 00:00:00+00:00,27,15,2,2
2026-09-20 00:00:00+00:00,4,4,1,1
