referrer,views_total,views_unique
Google,66,15
github.com,19,5
Bing,11,8
redmine.str-soft.com,10,1
ecosia.org,1,1
respecth.elte.hu,1,1
sciencedirect.com,1,1
software.llnl.gov,1,1
