        time[s],    volint[cm3],
    0.50000E-04,    0.99817E+03,
    0.55000E-03,    0.99844E+03,
    0.10500E-02,    0.99909E+03,
    0.15500E-02,    0.99934E+03,
    0.20500E-02,    0.99939E+03,
    0.25500E-02,    0.99927E+03,
    0.30500E-02,    0.99927E+03,
    0.35500E-02,    0.99928E+03,
    0.40500E-02,    0.99860E+03,
    0.45500E-02,    0.99656E+03,
    0.50500E-02,    0.99353E+03,
    0.55500E-02,    0.98895E+03,
    0.60500E-02,    0.98142E+03,
    0.65500E-02,    0.97058E+03,
    0.70500E-02,    0.95708E+03,
    0.75500E-02,    0.94036E+03,
    0.80500E-02,    0.91916E+03,
    0.85500E-02,    0.89380E+03,
    0.90500E-02,    0.86555E+03,
    0.95500E-02,    0.83432E+03,
    0.10050E-01,    0.79929E+03,
    0.10550E-01,    0.76110E+03,
    0.11050E-01,    0.72091E+03,
    0.11550E-01,    0.67865E+03,
    0.12050E-01,    0.63413E+03,
    0.12550E-01,    0.58824E+03,
    0.13050E-01,    0.54158E+03,
    0.13550E-01,    0.49414E+03,
    0.14050E-01,    0.44608E+03,
    0.14550E-01,    0.39747E+03,
    0.15050E-01,    0.34878E+03,
    0.15550E-01,    0.30096E+03,
    0.16050E-01,    0.25542E+03,
    0.16550E-01,    0.21417E+03,
    0.17050E-01,    0.17905E+03,
    0.17550E-01,    0.15052E+03,
    0.18050E-01,    0.12955E+03,
    0.18550E-01,    0.11041E+03,
    0.19050E-01,    0.97675E+02,
    0.19550E-01,    0.90782E+02,
    0.20050E-01,    0.88920E+02,
    0.20550E-01,    0.90090E+02,
    0.21050E-01,    0.90630E+02,
    0.21550E-01,    0.90994E+02,
    0.22050E-01,    0.91560E+02,
    0.22550E-01,    0.91991E+02,
    0.23050E-01,    0.92359E+02,
    0.23550E-01,    0.92724E+02,
    0.24050E-01,    0.93017E+02,
    0.24550E-01,    0.93283E+02,
    0.25050E-01,    0.93515E+02,
    0.25550E-01,    0.93773E+02,
    0.26050E-01,    0.94054E+02,
    0.26550E-01,    0.94281E+02,
    0.27050E-01,    0.94511E+02,
    0.27550E-01,    0.94740E+02,
    0.28050E-01,    0.94954E+02,
    0.28550E-01,    0.95159E+02,
    0.29050E-01,    0.95326E+02,
    0.29550E-01,    0.95525E+02,
    0.30050E-01,    0.95702E+02,
    0.30550E-01,    0.95856E+02,
    0.31050E-01,    0.96025E+02,
    0.31550E-01,    0.96173E+02,
    0.32050E-01,    0.96304E+02,
    0.32550E-01,    0.96442E+02,
    0.33050E-01,    0.96578E+02,
    0.33550E-01,    0.96706E+02,
    0.34050E-01,    0.96802E+02,
    0.34550E-01,    0.96912E+02,
    0.35050E-01,    0.97020E+02,
    0.35550E-01,    0.97114E+02,
    0.36050E-01,    0.97203E+02,
    0.36550E-01,    0.97298E+02,
    0.37050E-01,    0.97393E+02,
    0.37550E-01,    0.97473E+02,
    0.38050E-01,    0.97554E+02,
    0.38550E-01,    0.97629E+02,
    0.39050E-01,    0.97709E+02,
    0.39550E-01,    0.97780E+02,
    0.40050E-01,    0.97854E+02,
    0.40550E-01,    0.97929E+02,
    0.41050E-01,    0.98005E+02,
    0.41550E-01,    0.98070E+02,
    0.42050E-01,    0.98141E+02,
    0.42550E-01,    0.98211E+02,
    0.43050E-01,    0.98281E+02,
    0.43550E-01,    0.98358E+02,
    0.44050E-01,    0.98428E+02,
    0.44550E-01,    0.98498E+02,
    0.45050E-01,    0.98561E+02,
    0.45550E-01,    0.98624E+02,
    0.46050E-01,    0.98696E+02,
    0.46550E-01,    0.98766E+02,
    0.47050E-01,    0.98834E+02,
    0.47550E-01,    0.98901E+02,
    0.48050E-01,    0.98969E+02,
    0.48550E-01,    0.99029E+02,
    0.49050E-01,    0.99093E+02,
    0.49550E-01,    0.99162E+02,
    0.50050E-01,    0.99226E+02,
    0.50550E-01,    0.99286E+02,
    0.51050E-01,    0.99340E+02,
    0.51550E-01,    0.99402E+02,
    0.52050E-01,    0.99453E+02,
    0.52550E-01,    0.99513E+02,
    0.53050E-01,    0.99567E+02,
    0.53550E-01,    0.99627E+02,
    0.54050E-01,    0.99671E+02,
    0.54550E-01,    0.99729E+02,
    0.55050E-01,    0.99777E+02,
    0.55550E-01,    0.99826E+02,
    0.56050E-01,    0.99871E+02,
    0.56550E-01,    0.99909E+02,
    0.57050E-01,    0.99961E+02,
    0.57550E-01,    0.10000E+03,
    0.58050E-01,    0.10005E+03,
    0.58550E-01,    0.10009E+03,
    0.59050E-01,    0.10012E+03,
    0.59550E-01,    0.10016E+03,
    0.60050E-01,    0.10021E+03,
    0.60550E-01,    0.10025E+03,
    0.61050E-01,    0.10028E+03,
    0.61550E-01,    0.10032E+03,
    0.62050E-01,    0.10035E+03,
    0.62550E-01,    0.10039E+03,
    0.63050E-01,    0.10043E+03,
    0.63550E-01,    0.10047E+03,
    0.64050E-01,    0.10050E+03,
    0.64550E-01,    0.10054E+03,
    0.65050E-01,    0.10058E+03,
    0.65550E-01,    0.10061E+03,
    0.66050E-01,    0.10065E+03,
    0.66550E-01,    0.10069E+03,
    0.67050E-01,    0.10073E+03,
    0.67550E-01,    0.10077E+03,
    0.68050E-01,    0.10080E+03,
    0.68550E-01,    0.10084E+03,
    0.69050E-01,    0.10088E+03,
    0.69550E-01,    0.10091E+03,
    0.70050E-01,    0.10096E+03,
    0.70550E-01,    0.10100E+03,
    0.71050E-01,    0.10103E+03,
    0.71550E-01,    0.10107E+03,
    0.72050E-01,    0.10111E+03,
    0.72550E-01,    0.10115E+03,
    0.73050E-01,    0.10119E+03,
    0.73550E-01,    0.10122E+03,
    0.74050E-01,    0.10126E+03,
    0.74550E-01,    0.10130E+03,
    0.75050E-01,    0.10134E+03,
    0.75550E-01,    0.10137E+03,
    0.76050E-01,    0.10140E+03,
    0.76550E-01,    0.10143E+03,
    0.77050E-01,    0.10147E+03,
    0.77550E-01,    0.10150E+03,
    0.78050E-01,    0.10153E+03,
    0.78550E-01,    0.10155E+03,
    0.79050E-01,    0.10158E+03,
    0.79550E-01,    0.10162E+03,
    0.80050E-01,    0.10164E+03,
    0.80550E-01,    0.10167E+03,
    0.81050E-01,    0.10170E+03,
    0.81550E-01,    0.10173E+03,
    0.82050E-01,    0.10175E+03,
    0.82550E-01,    0.10177E+03,
    0.83050E-01,    0.10180E+03,
    0.83550E-01,    0.10183E+03,
    0.84050E-01,    0.10185E+03,
    0.84550E-01,    0.10188E+03,
    0.85050E-01,    0.10190E+03,
    0.85550E-01,    0.10193E+03,
    0.86050E-01,    0.10196E+03,
    0.86550E-01,    0.10198E+03,
    0.87050E-01,    0.10200E+03,
    0.87550E-01,    0.10203E+03,
    0.88050E-01,    0.10205E+03,
    0.88550E-01,    0.10207E+03,
    0.89050E-01,    0.10209E+03,
    0.89550E-01,    0.10212E+03,
    0.90050E-01,    0.10215E+03,
    0.90550E-01,    0.10217E+03,
    0.91050E-01,    0.10219E+03,
    0.91550E-01,    0.10222E+03,
    0.92050E-01,    0.10225E+03,
    0.92550E-01,    0.10227E+03,
    0.93050E-01,    0.10230E+03,
    0.93550E-01,    0.10233E+03,
    0.94050E-01,    0.10236E+03,
    0.94550E-01,    0.10238E+03,
    0.95050E-01,    0.10241E+03,
    0.95550E-01,    0.10244E+03,
    0.96050E-01,    0.10247E+03,
    0.96550E-01,    0.10250E+03,
    0.97050E-01,    0.10252E+03,
    0.97550E-01,    0.10255E+03,
    0.98050E-01,    0.10258E+03,
    0.98550E-01,    0.10260E+03,
    0.99050E-01,    0.10263E+03,
    0.99550E-01,    0.10266E+03,
    0.10005E+00,    0.10269E+03,
    0.10055E+00,    0.10272E+03,
    0.10105E+00,    0.10274E+03,
    0.10155E+00,    0.10277E+03,
    0.10205E+00,    0.10279E+03,
    0.10255E+00,    0.10283E+03,
