        time[s],    volint[cm3],
    0.50000E-04,    0.99976E+03,
    0.55000E-03,    0.99953E+03,
    0.10500E-02,    0.99890E+03,
    0.15500E-02,    0.99801E+03,
    0.20500E-02,    0.99766E+03,
    0.25500E-02,    0.99827E+03,
    0.30500E-02,    0.99941E+03,
    0.35500E-02,    0.10005E+04,
    0.40500E-02,    0.99960E+03,
    0.45500E-02,    0.99415E+03,
    0.50500E-02,    0.98664E+03,
    0.55500E-02,    0.97910E+03,
    0.60500E-02,    0.96978E+03,
    0.65500E-02,    0.95943E+03,
    0.70500E-02,    0.95091E+03,
    0.75500E-02,    0.94234E+03,
    0.80500E-02,    0.92948E+03,
    0.85500E-02,    0.91082E+03,
    0.90500E-02,    0.89047E+03,
    0.95500E-02,    0.86948E+03,
    0.10050E-01,    0.84388E+03,
    0.10550E-01,    0.81436E+03,
    0.11050E-01,    0.78462E+03,
    0.11550E-01,    0.75267E+03,
    0.12050E-01,    0.71608E+03,
    0.12550E-01,    0.67659E+03,
    0.13050E-01,    0.63642E+03,
    0.13550E-01,    0.59489E+03,
    0.14050E-01,    0.55038E+03,
    0.14550E-01,    0.50388E+03,
    0.15050E-01,    0.45719E+03,
    0.15550E-01,    0.41042E+03,
    0.16050E-01,    0.36461E+03,
    0.16550E-01,    0.32246E+03,
    0.17050E-01,    0.28506E+03,
    0.17550E-01,    0.25224E+03,
    0.18050E-01,    0.22224E+03,
    0.18550E-01,    0.19505E+03,
    0.19050E-01,    0.17018E+03,
    0.19550E-01,    0.14642E+03,
    0.20050E-01,    0.12206E+03,
    0.20550E-01,    0.10457E+03,
    0.21050E-01,    0.94877E+02,
    0.21550E-01,    0.92093E+02,
    0.22050E-01,    0.92893E+02,
    0.22550E-01,    0.93377E+02,
    0.23050E-01,    0.93637E+02,
    0.23550E-01,    0.94648E+02,
    0.24050E-01,    0.94886E+02,
    0.24550E-01,    0.95589E+02,
    0.25050E-01,    0.96371E+02,
    0.25550E-01,    0.96531E+02,
    0.26050E-01,    0.96848E+02,
    0.26550E-01,    0.97293E+02,
    0.27050E-01,    0.97727E+02,
    0.27550E-01,    0.97814E+02,
    0.28050E-01,    0.98052E+02,
    0.28550E-01,    0.98574E+02,
    0.29050E-01,    0.98772E+02,
    0.29550E-01,    0.98843E+02,
    0.30050E-01,    0.99113E+02,
    0.30550E-01,    0.99488E+02,
    0.31050E-01,    0.99622E+02,
    0.31550E-01,    0.99722E+02,
    0.32050E-01,    0.10001E+03,
    0.32550E-01,    0.10032E+03,
    0.33050E-01,    0.10039E+03,
    0.33550E-01,    0.10055E+03,
    0.34050E-01,    0.10088E+03,
    0.34550E-01,    0.10099E+03,
    0.35050E-01,    0.10107E+03,
    0.35550E-01,    0.10125E+03,
    0.36050E-01,    0.10153E+03,
    0.36550E-01,    0.10163E+03,
    0.37050E-01,    0.10169E+03,
    0.37550E-01,    0.10190E+03,
    0.38050E-01,    0.10213E+03,
    0.38550E-01,    0.10218E+03,
    0.39050E-01,    0.10231E+03,
    0.39550E-01,    0.10253E+03,
    0.40050E-01,    0.10264E+03,
    0.40550E-01,    0.10272E+03,
    0.41050E-01,    0.10285E+03,
    0.41550E-01,    0.10303E+03,
    0.42050E-01,    0.10313E+03,
    0.42550E-01,    0.10321E+03,
    0.43050E-01,    0.10340E+03,
    0.43550E-01,    0.10353E+03,
    0.44050E-01,    0.10361E+03,
    0.44550E-01,    0.10369E+03,
    0.45050E-01,    0.10389E+03,
    0.45550E-01,    0.10399E+03,
    0.46050E-01,    0.10404E+03,
    0.46550E-01,    0.10420E+03,
    0.47050E-01,    0.10434E+03,
    0.47550E-01,    0.10443E+03,
    0.48050E-01,    0.10452E+03,
    0.48550E-01,    0.10464E+03,
    0.49050E-01,    0.10480E+03,
    0.49550E-01,    0.10488E+03,
    0.50050E-01,    0.10496E+03,
    0.50550E-01,    0.10511E+03,
    0.51050E-01,    0.10519E+03,
    0.51550E-01,    0.10521E+03,
    0.52050E-01,    0.10534E+03,
    0.52550E-01,    0.10548E+03,
    0.53050E-01,    0.10553E+03,
    0.53550E-01,    0.10559E+03,
    0.54050E-01,    0.10570E+03,
    0.54550E-01,    0.10579E+03,
    0.55050E-01,    0.10587E+03,
    0.55550E-01,    0.10592E+03,
    0.56050E-01,    0.10604E+03,
    0.56550E-01,    0.10611E+03,
    0.57050E-01,    0.10612E+03,
    0.57550E-01,    0.10621E+03,
    0.58050E-01,    0.10632E+03,
    0.58550E-01,    0.10636E+03,
    0.59050E-01,    0.10640E+03,
    0.59550E-01,    0.10650E+03,
    0.60050E-01,    0.10658E+03,
    0.60550E-01,    0.10664E+03,
    0.61050E-01,    0.10668E+03,
    0.61550E-01,    0.10678E+03,
    0.62050E-01,    0.10685E+03,
    0.62550E-01,    0.10689E+03,
    0.63050E-01,    0.10695E+03,
    0.63550E-01,    0.10701E+03,
    0.64050E-01,    0.10705E+03,
    0.64550E-01,    0.10709E+03,
    0.65050E-01,    0.10717E+03,
    0.65550E-01,    0.10724E+03,
    0.66050E-01,    0.10729E+03,
    0.66550E-01,    0.10733E+03,
    0.67050E-01,    0.10741E+03,
    0.67550E-01,    0.10746E+03,
    0.68050E-01,    0.10751E+03,
    0.68550E-01,    0.10756E+03,
    0.69050E-01,    0.10764E+03,
    0.69550E-01,    0.10768E+03,
    0.70050E-01,    0.10772E+03,
    0.70550E-01,    0.10779E+03,
    0.71050E-01,    0.10784E+03,
    0.71550E-01,    0.10790E+03,
    0.72050E-01,    0.10797E+03,
    0.72550E-01,    0.10801E+03,
    0.73050E-01,    0.10805E+03,
    0.73550E-01,    0.10810E+03,
    0.74050E-01,    0.10813E+03,
    0.74550E-01,    0.10820E+03,
    0.75050E-01,    0.10829E+03,
    0.75550E-01,    0.10833E+03,
    0.76050E-01,    0.10838E+03,
    0.76550E-01,    0.10844E+03,
    0.77050E-01,    0.10844E+03,
    0.77550E-01,    0.10849E+03,
    0.78050E-01,    0.10854E+03,
    0.78550E-01,    0.10859E+03,
    0.79050E-01,    0.10862E+03,
    0.79550E-01,    0.10867E+03,
    0.80050E-01,    0.10871E+03,
    0.80550E-01,    0.10876E+03,
    0.81050E-01,    0.10879E+03,
    0.81550E-01,    0.10886E+03,
    0.82050E-01,    0.10888E+03,
    0.82550E-01,    0.10893E+03,
    0.83050E-01,    0.10898E+03,
    0.83550E-01,    0.10902E+03,
    0.84050E-01,    0.10903E+03,
    0.84550E-01,    0.10908E+03,
    0.85050E-01,    0.10912E+03,
    0.85550E-01,    0.10917E+03,
    0.86050E-01,    0.10919E+03,
    0.86550E-01,    0.10921E+03,
    0.87050E-01,    0.10927E+03,
    0.87550E-01,    0.10930E+03,
    0.88050E-01,    0.10936E+03,
    0.88550E-01,    0.10938E+03,
    0.89050E-01,    0.10941E+03,
    0.89550E-01,    0.10945E+03,
    0.90050E-01,    0.10946E+03,
    0.90550E-01,    0.10950E+03,
    0.91050E-01,    0.10956E+03,
    0.91550E-01,    0.10960E+03,
    0.92050E-01,    0.10963E+03,
    0.92550E-01,    0.10967E+03,
    0.93050E-01,    0.10970E+03,
    0.93550E-01,    0.10974E+03,
    0.94050E-01,    0.10976E+03,
    0.94550E-01,    0.10982E+03,
    0.95050E-01,    0.10987E+03,
    0.95550E-01,    0.10993E+03,
    0.96050E-01,    0.10994E+03,
    0.96550E-01,    0.10997E+03,
    0.97050E-01,    0.11002E+03,
    0.97550E-01,    0.11003E+03,
    0.98050E-01,    0.11010E+03,
    0.98550E-01,    0.11016E+03,
    0.99050E-01,    0.11020E+03,
    0.99550E-01,    0.11022E+03,
    0.10005E+00,    0.11025E+03,
    0.10055E+00,    0.11028E+03,
    0.10105E+00,    0.11033E+03,
    0.10155E+00,    0.11036E+03,
    0.10205E+00,    0.11040E+03,
    0.10255E+00,    0.11045E+03,
    0.10305E+00,    0.11046E+03,
    0.10355E+00,    0.11050E+03,
    0.10405E+00,    0.11054E+03,
    0.10455E+00,    0.11057E+03,
    0.10505E+00,    0.11063E+03,
    0.10555E+00,    0.11067E+03,
    0.10605E+00,    0.11069E+03,
    0.10655E+00,    0.11071E+03,
    0.10705E+00,    0.11076E+03,
    0.10755E+00,    0.11080E+03,
    0.10805E+00,    0.11086E+03,
    0.10855E+00,    0.11088E+03,
    0.10905E+00,    0.11093E+03,
    0.10955E+00,    0.11098E+03,
    0.11005E+00,    0.11100E+03,
    0.11055E+00,    0.11103E+03,
    0.11105E+00,    0.11108E+03,
    0.11155E+00,    0.11113E+03,
    0.11205E+00,    0.11118E+03,
    0.11255E+00,    0.11121E+03,
    0.11305E+00,    0.11122E+03,
    0.11355E+00,    0.11128E+03,
    0.11405E+00,    0.11129E+03,
    0.11455E+00,    0.11136E+03,
    0.11505E+00,    0.11142E+03,
    0.11555E+00,    0.11142E+03,
    0.11605E+00,    0.11145E+03,
    0.11655E+00,    0.11150E+03,
    0.11705E+00,    0.11156E+03,
    0.11755E+00,    0.11160E+03,
    0.11805E+00,    0.11165E+03,
    0.11855E+00,    0.11170E+03,
    0.11905E+00,    0.11175E+03,
    0.11955E+00,    0.11173E+03,
    0.12005E+00,    0.11179E+03,
    0.12055E+00,    0.11186E+03,
    0.12105E+00,    0.11188E+03,
    0.12155E+00,    0.11194E+03,
    0.12205E+00,    0.11198E+03,
    0.12255E+00,    0.11203E+03,
    0.12305E+00,    0.11205E+03,
    0.12355E+00,    0.11208E+03,
    0.12405E+00,    0.11212E+03,
    0.12455E+00,    0.11219E+03,
    0.12505E+00,    0.11223E+03,
    0.12555E+00,    0.11223E+03,
    0.12605E+00,    0.11229E+03,
    0.12655E+00,    0.11231E+03,
    0.12705E+00,    0.11239E+03,
    0.12755E+00,    0.11243E+03,
    0.12805E+00,    0.11248E+03,
    0.12855E+00,    0.11251E+03,
    0.12905E+00,    0.11253E+03,
    0.12955E+00,    0.11257E+03,
    0.13005E+00,    0.11262E+03,
    0.13055E+00,    0.11266E+03,
    0.13105E+00,    0.11271E+03,
    0.13155E+00,    0.11276E+03,
    0.13205E+00,    0.11278E+03,
    0.13255E+00,    0.11282E+03,
    0.13305E+00,    0.11285E+03,
    0.13355E+00,    0.11288E+03,
    0.13405E+00,    0.11292E+03,
    0.13455E+00,    0.11296E+03,
    0.13505E+00,    0.11303E+03,
    0.13555E+00,    0.11306E+03,
    0.13605E+00,    0.11309E+03,
    0.13655E+00,    0.11312E+03,
    0.13705E+00,    0.11317E+03,
    0.13755E+00,    0.11323E+03,
    0.13805E+00,    0.11325E+03,
    0.13855E+00,    0.11326E+03,
    0.13905E+00,    0.11331E+03,
    0.13955E+00,    0.11335E+03,
    0.14005E+00,    0.11340E+03,
    0.14055E+00,    0.11343E+03,
    0.14105E+00,    0.11347E+03,
    0.14155E+00,    0.11352E+03,
    0.14205E+00,    0.11356E+03,
    0.14255E+00,    0.11357E+03,
    0.14305E+00,    0.11361E+03,
    0.14355E+00,    0.11364E+03,
    0.14405E+00,    0.11371E+03,
    0.14455E+00,    0.11372E+03,
    0.14505E+00,    0.11377E+03,
    0.14555E+00,    0.11380E+03,
    0.14605E+00,    0.11384E+03,
    0.14655E+00,    0.11388E+03,
    0.14705E+00,    0.11392E+03,
    0.14755E+00,    0.11396E+03,
    0.14805E+00,    0.11401E+03,
    0.14855E+00,    0.11404E+03,
    0.14905E+00,    0.11407E+03,
    0.14955E+00,    0.11410E+03,
    0.15005E+00,    0.11414E+03,
    0.15055E+00,    0.11419E+03,
    0.15105E+00,    0.11423E+03,
    0.15155E+00,    0.11423E+03,
    0.15205E+00,    0.11430E+03,
    0.15255E+00,    0.11433E+03,
    0.15305E+00,    0.11436E+03,
    0.15355E+00,    0.11441E+03,
    0.15405E+00,    0.11444E+03,
    0.15455E+00,    0.11448E+03,
    0.15505E+00,    0.11452E+03,
    0.15555E+00,    0.11455E+03,
    0.15605E+00,    0.11459E+03,
    0.15655E+00,    0.11463E+03,
    0.15705E+00,    0.11466E+03,
    0.15755E+00,    0.11471E+03,
    0.15805E+00,    0.11474E+03,
    0.15855E+00,    0.11478E+03,
    0.15905E+00,    0.11480E+03,
    0.15955E+00,    0.11484E+03,
    0.16005E+00,    0.11489E+03,
    0.16055E+00,    0.11494E+03,
    0.16105E+00,    0.11497E+03,
    0.16155E+00,    0.11499E+03,
    0.16205E+00,    0.11504E+03,
    0.16255E+00,    0.11506E+03,
    0.16305E+00,    0.11509E+03,
    0.16355E+00,    0.11516E+03,
    0.16405E+00,    0.11519E+03,
    0.16455E+00,    0.11523E+03,
    0.16505E+00,    0.11524E+03,
    0.16555E+00,    0.11529E+03,
    0.16605E+00,    0.11532E+03,
    0.16655E+00,    0.11537E+03,
    0.16705E+00,    0.11540E+03,
    0.16755E+00,    0.11544E+03,
    0.16805E+00,    0.11546E+03,
    0.16855E+00,    0.11550E+03,
    0.16905E+00,    0.11552E+03,
    0.16955E+00,    0.11555E+03,
    0.17005E+00,    0.11560E+03,
    0.17055E+00,    0.11563E+03,
    0.17105E+00,    0.11569E+03,
    0.17155E+00,    0.11570E+03,
    0.17205E+00,    0.11574E+03,
    0.17255E+00,    0.11578E+03,
    0.17305E+00,    0.11580E+03,
    0.17355E+00,    0.11585E+03,
    0.17405E+00,    0.11588E+03,
    0.17455E+00,    0.11591E+03,
    0.17505E+00,    0.11594E+03,
    0.17555E+00,    0.11597E+03,
    0.17605E+00,    0.11601E+03,
    0.17655E+00,    0.11606E+03,
    0.17705E+00,    0.11609E+03,
    0.17755E+00,    0.11613E+03,
    0.17805E+00,    0.11615E+03,
    0.17855E+00,    0.11619E+03,
    0.17905E+00,    0.11621E+03,
    0.17955E+00,    0.11627E+03,
    0.18005E+00,    0.11630E+03,
