        time[s],    volint[cm3],
    0.83550E-01,    0.10079E+03,
    0.84050E-01,    0.10082E+03,
    0.84550E-01,    0.10084E+03,
    0.85050E-01,    0.10086E+03,
    0.85550E-01,    0.10089E+03,
    0.86050E-01,    0.10091E+03,
    0.86550E-01,    0.10093E+03,
    0.87050E-01,    0.10095E+03,
    0.87550E-01,    0.10099E+03,
    0.88050E-01,    0.10100E+03,
    0.88550E-01,    0.10103E+03,
    0.89050E-01,    0.10106E+03,
    0.89550E-01,    0.10108E+03,
    0.90050E-01,    0.10111E+03,
    0.90550E-01,    0.10112E+03,
    0.91050E-01,    0.10115E+03,
    0.91550E-01,    0.10117E+03,
    0.92050E-01,    0.10120E+03,
    0.92550E-01,    0.10122E+03,
    0.93050E-01,    0.10125E+03,
    0.93550E-01,    0.10127E+03,
    0.94050E-01,    0.10129E+03,
    0.94550E-01,    0.10132E+03,
    0.95050E-01,    0.10134E+03,
    0.95550E-01,    0.10137E+03,
    0.96050E-01,    0.10140E+03,
    0.96550E-01,    0.10142E+03,
    0.97050E-01,    0.10145E+03,
    0.97550E-01,    0.10148E+03,
    0.98050E-01,    0.10150E+03,
    0.98550E-01,    0.10153E+03,
    0.99050E-01,    0.10156E+03,
    0.99550E-01,    0.10159E+03,
    0.10005E+00,    0.10161E+03,
    0.10055E+00,    0.10164E+03,
    0.10105E+00,    0.10166E+03,
    0.10155E+00,    0.10169E+03,
    0.10205E+00,    0.10171E+03,
    0.10255E+00,    0.10174E+03,
    0.10305E+00,    0.10176E+03,
    0.10355E+00,    0.10179E+03,
    0.10405E+00,    0.10182E+03,
    0.10455E+00,    0.10184E+03,
    0.10505E+00,    0.10187E+03,
    0.10555E+00,    0.10190E+03,
    0.10605E+00,    0.10192E+03,
    0.10655E+00,    0.10195E+03,
    0.10705E+00,    0.10197E+03,
    0.10755E+00,    0.10199E+03,
    0.10805E+00,    0.10202E+03,
    0.10855E+00,    0.10204E+03,
    0.10905E+00,    0.10207E+03,
    0.10955E+00,    0.10209E+03,
    0.11005E+00,    0.10212E+03,
    0.11055E+00,    0.10214E+03,
    0.11105E+00,    0.10217E+03,
    0.11155E+00,    0.10219E+03,
    0.11205E+00,    0.10222E+03,
    0.11255E+00,    0.10225E+03,
    0.11305E+00,    0.10227E+03,
    0.11355E+00,    0.10230E+03,
    0.11405E+00,    0.10232E+03,
    0.11455E+00,    0.10235E+03,
    0.11505E+00,    0.10237E+03,
    0.11555E+00,    0.10240E+03,
    0.11605E+00,    0.10243E+03,
    0.11655E+00,    0.10245E+03,
    0.11705E+00,    0.10248E+03,
    0.11755E+00,    0.10251E+03,
    0.11805E+00,    0.10253E+03,
    0.11855E+00,    0.10256E+03,
    0.11905E+00,    0.10260E+03,
    0.11955E+00,    0.10262E+03,
    0.12005E+00,    0.10265E+03,
    0.12055E+00,    0.10268E+03,
    0.12105E+00,    0.10271E+03,
    0.12155E+00,    0.10274E+03,
    0.12205E+00,    0.10277E+03,
    0.12255E+00,    0.10280E+03,
    0.12305E+00,    0.10282E+03,
    0.12355E+00,    0.10285E+03,
    0.12405E+00,    0.10288E+03,
    0.12455E+00,    0.10291E+03,
    0.12505E+00,    0.10294E+03,
    0.12555E+00,    0.10297E+03,
    0.12605E+00,    0.10300E+03,
    0.12655E+00,    0.10303E+03,
    0.12705E+00,    0.10306E+03,
    0.12755E+00,    0.10309E+03,
    0.12805E+00,    0.10311E+03,
    0.12855E+00,    0.10315E+03,
    0.12905E+00,    0.10318E+03,
    0.12955E+00,    0.10320E+03,
    0.13005E+00,    0.10323E+03,
    0.13055E+00,    0.10326E+03,
    0.13105E+00,    0.10328E+03,
    0.13155E+00,    0.10332E+03,
    0.13205E+00,    0.10334E+03,
    0.13255E+00,    0.10337E+03,
    0.13305E+00,    0.10340E+03,
    0.13355E+00,    0.10343E+03,
    0.13405E+00,    0.10346E+03,
    0.13455E+00,    0.10348E+03,
    0.13505E+00,    0.10351E+03,
    0.13555E+00,    0.10354E+03,
    0.13605E+00,    0.10357E+03,
    0.13655E+00,    0.10360E+03,
    0.13705E+00,    0.10363E+03,
    0.13755E+00,    0.10365E+03,
    0.13805E+00,    0.10368E+03,
    0.13855E+00,    0.10371E+03,
    0.13905E+00,    0.10374E+03,
    0.13955E+00,    0.10377E+03,
    0.14005E+00,    0.10380E+03,
    0.14055E+00,    0.10382E+03,
    0.14105E+00,    0.10385E+03,
    0.14155E+00,    0.10388E+03,
    0.14205E+00,    0.10391E+03,
    0.14255E+00,    0.10394E+03,
    0.14305E+00,    0.10397E+03,
    0.14355E+00,    0.10400E+03,
    0.14405E+00,    0.10403E+03,
    0.14455E+00,    0.10406E+03,
    0.14505E+00,    0.10408E+03,
    0.14555E+00,    0.10411E+03,
    0.14605E+00,    0.10414E+03,
    0.14655E+00,    0.10417E+03,
    0.14705E+00,    0.10420E+03,
    0.14755E+00,    0.10423E+03,
    0.14805E+00,    0.10426E+03,
    0.14855E+00,    0.10429E+03,
    0.14905E+00,    0.10431E+03,
    0.14955E+00,    0.10434E+03,
    0.15005E+00,    0.10437E+03,
    0.15055E+00,    0.10440E+03,
    0.15105E+00,    0.10443E+03,
    0.15155E+00,    0.10446E+03,
    0.15205E+00,    0.10449E+03,
    0.15255E+00,    0.10452E+03,
    0.15305E+00,    0.10454E+03,
    0.15355E+00,    0.10456E+03,
    0.15405E+00,    0.10460E+03,
    0.15455E+00,    0.10462E+03,
    0.15505E+00,    0.10465E+03,
    0.15555E+00,    0.10468E+03,
    0.15605E+00,    0.10471E+03,
    0.15655E+00,    0.10474E+03,
    0.15705E+00,    0.10476E+03,
    0.15755E+00,    0.10479E+03,
    0.15805E+00,    0.10482E+03,
    0.15855E+00,    0.10485E+03,
    0.15905E+00,    0.10487E+03,
    0.15955E+00,    0.10491E+03,
    0.16005E+00,    0.10493E+03,
    0.16055E+00,    0.10496E+03,
    0.16105E+00,    0.10499E+03,
    0.16155E+00,    0.10501E+03,
    0.16205E+00,    0.10504E+03,
    0.16255E+00,    0.10507E+03,
    0.16305E+00,    0.10509E+03,
    0.16355E+00,    0.10513E+03,
    0.16405E+00,    0.10515E+03,
    0.16455E+00,    0.10518E+03,
    0.16505E+00,    0.10521E+03,
    0.16555E+00,    0.10524E+03,
    0.16605E+00,    0.10526E+03,
    0.16655E+00,    0.10529E+03,
    0.16705E+00,    0.10532E+03,
    0.16755E+00,    0.10534E+03,
    0.16805E+00,    0.10538E+03,
    0.16855E+00,    0.10540E+03,
    0.16905E+00,    0.10543E+03,
    0.16955E+00,    0.10546E+03,
    0.17005E+00,    0.10549E+03,
    0.17055E+00,    0.10551E+03,
    0.17105E+00,    0.10554E+03,
    0.17155E+00,    0.10557E+03,
    0.17205E+00,    0.10560E+03,
    0.17255E+00,    0.10562E+03,
    0.17305E+00,    0.10565E+03,
    0.17355E+00,    0.10567E+03,
    0.17405E+00,    0.10570E+03,
    0.17455E+00,    0.10573E+03,
    0.17505E+00,    0.10576E+03,
    0.17555E+00,    0.10579E+03,
    0.17605E+00,    0.10581E+03,
    0.17655E+00,    0.10583E+03,
    0.17705E+00,    0.10586E+03,
    0.17755E+00,    0.10589E+03,
    0.17805E+00,    0.10592E+03,
    0.17855E+00,    0.10594E+03,
    0.17905E+00,    0.10596E+03,
    0.17955E+00,    0.10599E+03,
    0.18005E+00,    0.10601E+03,
    0.18055E+00,    0.10604E+03,
    0.18105E+00,    0.10607E+03,
    0.18155E+00,    0.10610E+03,
    0.18205E+00,    0.10612E+03,
    0.18255E+00,    0.10615E+03,
    0.18305E+00,    0.10617E+03,
    0.18355E+00,    0.10620E+03,
    0.18405E+00,    0.10623E+03,
    0.18455E+00,    0.10625E+03,
    0.18505E+00,    0.10628E+03,
    0.18555E+00,    0.10630E+03,
    0.18605E+00,    0.10632E+03,
    0.18655E+00,    0.10635E+03,
    0.18705E+00,    0.10637E+03,
    0.18755E+00,    0.10641E+03,
    0.18805E+00,    0.10643E+03,
    0.18855E+00,    0.10645E+03,
    0.18905E+00,    0.10648E+03,
    0.18955E+00,    0.10650E+03,
    0.19005E+00,    0.10653E+03,
    0.19055E+00,    0.10656E+03,
    0.19105E+00,    0.10659E+03,
    0.19155E+00,    0.10661E+03,
    0.19205E+00,    0.10664E+03,
    0.19255E+00,    0.10666E+03,
    0.19305E+00,    0.10669E+03,
    0.19355E+00,    0.10671E+03,
    0.19405E+00,    0.10674E+03,
    0.19455E+00,    0.10677E+03,
    0.19505E+00,    0.10680E+03,
    0.19555E+00,    0.10682E+03,
    0.19605E+00,    0.10684E+03,
    0.19655E+00,    0.10686E+03,
    0.19705E+00,    0.10689E+03,
    0.19755E+00,    0.10692E+03,
    0.19805E+00,    0.10695E+03,
    0.19855E+00,    0.10697E+03,
    0.19905E+00,    0.10699E+03,
    0.19955E+00,    0.10702E+03,
    0.20005E+00,    0.10705E+03,
    0.20055E+00,    0.10708E+03,
    0.20105E+00,    0.10710E+03,
    0.20155E+00,    0.10713E+03,
    0.20205E+00,    0.10716E+03,
    0.20255E+00,    0.10718E+03,
    0.20305E+00,    0.10721E+03,
    0.20355E+00,    0.10723E+03,
    0.20405E+00,    0.10726E+03,
    0.20455E+00,    0.10729E+03,
    0.20505E+00,    0.10731E+03,
    0.20555E+00,    0.10733E+03,
    0.20605E+00,    0.10736E+03,
    0.20655E+00,    0.10739E+03,
    0.20705E+00,    0.10741E+03,
    0.20755E+00,    0.10744E+03,
    0.20805E+00,    0.10747E+03,
    0.20855E+00,    0.10749E+03,
    0.20905E+00,    0.10751E+03,
    0.20955E+00,    0.10754E+03,
    0.21005E+00,    0.10756E+03,
    0.21055E+00,    0.10759E+03,
    0.21105E+00,    0.10762E+03,
    0.21155E+00,    0.10764E+03,
    0.21205E+00,    0.10766E+03,
    0.21255E+00,    0.10769E+03,
    0.21305E+00,    0.10772E+03,
    0.21355E+00,    0.10775E+03,
    0.21405E+00,    0.10777E+03,
    0.21455E+00,    0.10780E+03,
    0.21505E+00,    0.10783E+03,
    0.21555E+00,    0.10785E+03,
    0.21605E+00,    0.10787E+03,
    0.21655E+00,    0.10790E+03,
    0.21705E+00,    0.10793E+03,
    0.21755E+00,    0.10796E+03,
    0.21805E+00,    0.10798E+03,
    0.21855E+00,    0.10800E+03,
    0.21905E+00,    0.10803E+03,
    0.21955E+00,    0.10805E+03,
    0.22005E+00,    0.10808E+03,
    0.22055E+00,    0.10810E+03,
    0.22105E+00,    0.10813E+03,
    0.22155E+00,    0.10816E+03,
    0.22205E+00,    0.10818E+03,
    0.22255E+00,    0.10821E+03,
    0.22305E+00,    0.10823E+03,
    0.22355E+00,    0.10826E+03,
    0.22405E+00,    0.10828E+03,
    0.22455E+00,    0.10831E+03,
    0.22505E+00,    0.10834E+03,
    0.22555E+00,    0.10836E+03,
    0.22605E+00,    0.10838E+03,
    0.22655E+00,    0.10841E+03,
    0.22705E+00,    0.10843E+03,
    0.22755E+00,    0.10846E+03,
    0.22805E+00,    0.10849E+03,
    0.22855E+00,    0.10851E+03,
    0.22905E+00,    0.10853E+03,
    0.22955E+00,    0.10856E+03,
    0.23005E+00,    0.10858E+03,
    0.23055E+00,    0.10861E+03,
    0.23105E+00,    0.10864E+03,
    0.23155E+00,    0.10866E+03,
    0.23205E+00,    0.10868E+03,
    0.23255E+00,    0.10870E+03,
    0.23305E+00,    0.10873E+03,
    0.23355E+00,    0.10876E+03,
    0.23405E+00,    0.10879E+03,
    0.23455E+00,    0.10881E+03,
    0.23505E+00,    0.10883E+03,
    0.23555E+00,    0.10886E+03,
    0.23605E+00,    0.10889E+03,
    0.23655E+00,    0.10891E+03,
    0.23705E+00,    0.10893E+03,
    0.23755E+00,    0.10896E+03,
    0.23805E+00,    0.10899E+03,
    0.23855E+00,    0.10901E+03,
    0.23905E+00,    0.10903E+03,
    0.23955E+00,    0.10906E+03,
    0.24005E+00,    0.10909E+03,
    0.24055E+00,    0.10911E+03,
    0.24105E+00,    0.10914E+03,
    0.24155E+00,    0.10917E+03,
    0.24205E+00,    0.10919E+03,
    0.24255E+00,    0.10921E+03,
    0.24305E+00,    0.10924E+03,
    0.24355E+00,    0.10927E+03,
    0.24405E+00,    0.10929E+03,
    0.24455E+00,    0.10932E+03,
    0.24505E+00,    0.10934E+03,
    0.24555E+00,    0.10936E+03,
    0.24605E+00,    0.10939E+03,
    0.24655E+00,    0.10942E+03,
    0.24705E+00,    0.10944E+03,
    0.24755E+00,    0.10947E+03,
    0.24805E+00,    0.10950E+03,
    0.24855E+00,    0.10952E+03,
    0.24905E+00,    0.10954E+03,
    0.24955E+00,    0.10957E+03,
    0.25005E+00,    0.10960E+03,
    0.25055E+00,    0.10962E+03,
    0.25105E+00,    0.10964E+03,
    0.25155E+00,    0.10967E+03,
    0.25205E+00,    0.10969E+03,
    0.25255E+00,    0.10972E+03,
    0.25305E+00,    0.10975E+03,
    0.25355E+00,    0.10977E+03,
    0.25405E+00,    0.10980E+03,
    0.25455E+00,    0.10982E+03,
    0.25505E+00,    0.10984E+03,
    0.25555E+00,    0.10988E+03,
    0.25605E+00,    0.10990E+03,
    0.25655E+00,    0.10992E+03,
    0.25705E+00,    0.10994E+03,
    0.25755E+00,    0.10997E+03,
    0.25805E+00,    0.11000E+03,
    0.25855E+00,    0.11002E+03,
    0.25905E+00,    0.11005E+03,
    0.25955E+00,    0.11008E+03,
    0.26005E+00,    0.11010E+03,
    0.26055E+00,    0.11014E+03,
    0.26105E+00,    0.11015E+03,
    0.26155E+00,    0.11017E+03,
    0.26205E+00,    0.11020E+03,
    0.26255E+00,    0.11023E+03,
    0.26305E+00,    0.11026E+03,
    0.26355E+00,    0.11028E+03,
    0.26405E+00,    0.11030E+03,
    0.26455E+00,    0.11033E+03,
    0.26505E+00,    0.11035E+03,
    0.26555E+00,    0.11038E+03,
    0.26605E+00,    0.11041E+03,
    0.26655E+00,    0.11044E+03,
    0.26705E+00,    0.11046E+03,
    0.26755E+00,    0.11048E+03,
    0.26805E+00,    0.11051E+03,
    0.26855E+00,    0.11053E+03,
    0.26905E+00,    0.11056E+03,
    0.26955E+00,    0.11058E+03,
    0.27005E+00,    0.11061E+03,
    0.27055E+00,    0.11064E+03,
    0.27105E+00,    0.11066E+03,
    0.27155E+00,    0.11068E+03,
    0.27205E+00,    0.11072E+03,
    0.27255E+00,    0.11074E+03,
    0.27305E+00,    0.11076E+03,
    0.27355E+00,    0.11079E+03,
    0.27405E+00,    0.11081E+03,
    0.27455E+00,    0.11083E+03,
    0.27505E+00,    0.11087E+03,
    0.27555E+00,    0.11089E+03,
    0.27605E+00,    0.11092E+03,
    0.27655E+00,    0.11094E+03,
    0.27705E+00,    0.11096E+03,
    0.27755E+00,    0.11099E+03,
    0.27805E+00,    0.11101E+03,
    0.27855E+00,    0.11104E+03,
    0.27905E+00,    0.11107E+03,
    0.27955E+00,    0.11110E+03,
    0.28005E+00,    0.11112E+03,
    0.28055E+00,    0.11115E+03,
    0.28105E+00,    0.11117E+03,
    0.28155E+00,    0.11119E+03,
    0.28205E+00,    0.11123E+03,
    0.28255E+00,    0.11125E+03,
    0.28305E+00,    0.11128E+03,
    0.28355E+00,    0.11130E+03,
    0.28405E+00,    0.11132E+03,
    0.28455E+00,    0.11135E+03,
    0.28505E+00,    0.11138E+03,
    0.28555E+00,    0.11140E+03,
    0.28605E+00,    0.11144E+03,
    0.28655E+00,    0.11146E+03,
    0.28705E+00,    0.11148E+03,
    0.28755E+00,    0.11151E+03,
    0.28805E+00,    0.11154E+03,
    0.28855E+00,    0.11156E+03,
    0.28905E+00,    0.11159E+03,
    0.28955E+00,    0.11162E+03,
    0.29005E+00,    0.11164E+03,
    0.29055E+00,    0.11167E+03,
    0.29105E+00,    0.11169E+03,
    0.29155E+00,    0.11172E+03,
    0.29205E+00,    0.11175E+03,
    0.29255E+00,    0.11177E+03,
    0.29305E+00,    0.11180E+03,
    0.29355E+00,    0.11182E+03,
    0.29405E+00,    0.11185E+03,
    0.29455E+00,    0.11188E+03,
    0.29505E+00,    0.11190E+03,
    0.29555E+00,    0.11193E+03,
    0.29605E+00,    0.11196E+03,
    0.29655E+00,    0.11199E+03,
    0.29705E+00,    0.11201E+03,
    0.29755E+00,    0.11203E+03,
    0.29805E+00,    0.11206E+03,
    0.29855E+00,    0.11209E+03,
    0.29905E+00,    0.11212E+03,
    0.29955E+00,    0.11214E+03,
    0.30005E+00,    0.11217E+03,
    0.30055E+00,    0.11220E+03,
    0.30105E+00,    0.11222E+03,
    0.30155E+00,    0.11225E+03,
    0.30205E+00,    0.11228E+03,
    0.30255E+00,    0.11231E+03,
    0.30305E+00,    0.11233E+03,
    0.30355E+00,    0.11236E+03,
    0.30405E+00,    0.11238E+03,
    0.30455E+00,    0.11241E+03,
    0.30505E+00,    0.11244E+03,
    0.30555E+00,    0.11246E+03,
    0.30605E+00,    0.11249E+03,
    0.30655E+00,    0.11251E+03,
    0.30705E+00,    0.11254E+03,
    0.30755E+00,    0.11257E+03,
    0.30805E+00,    0.11260E+03,
    0.30855E+00,    0.11263E+03,
    0.30905E+00,    0.11266E+03,
    0.30955E+00,    0.11268E+03,
