        time[s],    volint[cm3],
    0.50000E-04,    0.99922E+03,
    0.55000E-03,    0.99867E+03,
    0.10500E-02,    0.99815E+03,
    0.15500E-02,    0.99744E+03,
    0.20500E-02,    0.99706E+03,
    0.25500E-02,    0.99726E+03,
    0.30500E-02,    0.99809E+03,
    0.35500E-02,    0.99878E+03,
    0.40500E-02,    0.99674E+03,
    0.45500E-02,    0.99177E+03,
    0.50500E-02,    0.98589E+03,
    0.55500E-02,    0.97942E+03,
    0.60500E-02,    0.97104E+03,
    0.65500E-02,    0.96195E+03,
    0.70500E-02,    0.95307E+03,
    0.75500E-02,    0.94170E+03,
    0.80500E-02,    0.92537E+03,
    0.85500E-02,    0.90571E+03,
    0.90500E-02,    0.88452E+03,
    0.95500E-02,    0.86092E+03,
    0.10050E-01,    0.83311E+03,
    0.10550E-01,    0.80283E+03,
    0.11050E-01,    0.77101E+03,
    0.11550E-01,    0.73559E+03,
    0.12050E-01,    0.69619E+03,
    0.12550E-01,    0.65551E+03,
    0.13050E-01,    0.61384E+03,
    0.13550E-01,    0.57007E+03,
    0.14050E-01,    0.52438E+03,
    0.14550E-01,    0.47767E+03,
    0.15050E-01,    0.43054E+03,
    0.15550E-01,    0.38367E+03,
    0.16050E-01,    0.33904E+03,
    0.16550E-01,    0.29878E+03,
    0.17050E-01,    0.26391E+03,
    0.17550E-01,    0.23307E+03,
    0.18050E-01,    0.20514E+03,
    0.18550E-01,    0.17952E+03,
    0.19050E-01,    0.15544E+03,
    0.19550E-01,    0.13226E+03,
    0.20050E-01,    0.11132E+03,
    0.20550E-01,    0.97948E+02,
    0.21050E-01,    0.91648E+02,
    0.21550E-01,    0.90839E+02,
    0.22050E-01,    0.91306E+02,
    0.22550E-01,    0.91671E+02,
    0.23050E-01,    0.92169E+02,
    0.23550E-01,    0.92635E+02,
    0.24050E-01,    0.93276E+02,
    0.24550E-01,    0.93727E+02,
    0.25050E-01,    0.94232E+02,
    0.25550E-01,    0.94472E+02,
    0.26050E-01,    0.94819E+02,
    0.26550E-01,    0.95183E+02,
    0.27050E-01,    0.95452E+02,
    0.27550E-01,    0.95677E+02,
    0.28050E-01,    0.95989E+02,
    0.28550E-01,    0.96296E+02,
    0.29050E-01,    0.96434E+02,
    0.29550E-01,    0.96671E+02,
    0.30050E-01,    0.96941E+02,
    0.30550E-01,    0.97149E+02,
    0.31050E-01,    0.97328E+02,
    0.31550E-01,    0.97508E+02,
    0.32050E-01,    0.97751E+02,
    0.32550E-01,    0.97944E+02,
    0.33050E-01,    0.98072E+02,
    0.33550E-01,    0.98305E+02,
    0.34050E-01,    0.98477E+02,
    0.34550E-01,    0.98590E+02,
    0.35050E-01,    0.98748E+02,
    0.35550E-01,    0.98911E+02,
    0.36050E-01,    0.99104E+02,
    0.36550E-01,    0.99194E+02,
    0.37050E-01,    0.99343E+02,
    0.37550E-01,    0.99502E+02,
    0.38050E-01,    0.99646E+02,
    0.38550E-01,    0.99730E+02,
    0.39050E-01,    0.99880E+02,
    0.39550E-01,    0.10001E+03,
    0.40050E-01,    0.10012E+03,
    0.40550E-01,    0.10022E+03,
    0.41050E-01,    0.10035E+03,
    0.41550E-01,    0.10047E+03,
    0.42050E-01,    0.10055E+03,
    0.42550E-01,    0.10066E+03,
    0.43050E-01,    0.10080E+03,
    0.43550E-01,    0.10091E+03,
    0.44050E-01,    0.10098E+03,
    0.44550E-01,    0.10109E+03,
    0.45050E-01,    0.10121E+03,
    0.45550E-01,    0.10129E+03,
    0.46050E-01,    0.10139E+03,
    0.46550E-01,    0.10151E+03,
    0.47050E-01,    0.10160E+03,
    0.47550E-01,    0.10168E+03,
    0.48050E-01,    0.10177E+03,
    0.48550E-01,    0.10189E+03,
    0.49050E-01,    0.10199E+03,
    0.49550E-01,    0.10206E+03,
    0.50050E-01,    0.10215E+03,
    0.50550E-01,    0.10224E+03,
    0.51050E-01,    0.10231E+03,
    0.51550E-01,    0.10238E+03,
    0.52050E-01,    0.10248E+03,
    0.52550E-01,    0.10257E+03,
    0.53050E-01,    0.10262E+03,
    0.53550E-01,    0.10271E+03,
    0.54050E-01,    0.10279E+03,
    0.54550E-01,    0.10285E+03,
    0.55050E-01,    0.10292E+03,
    0.55550E-01,    0.10299E+03,
    0.56050E-01,    0.10307E+03,
    0.56550E-01,    0.10311E+03,
    0.57050E-01,    0.10316E+03,
    0.57550E-01,    0.10323E+03,
    0.58050E-01,    0.10328E+03,
    0.58550E-01,    0.10333E+03,
    0.59050E-01,    0.10341E+03,
    0.59550E-01,    0.10348E+03,
    0.60050E-01,    0.10353E+03,
    0.60550E-01,    0.10357E+03,
    0.61050E-01,    0.10361E+03,
    0.61550E-01,    0.10368E+03,
    0.62050E-01,    0.10373E+03,
    0.62550E-01,    0.10378E+03,
    0.63050E-01,    0.10382E+03,
    0.63550E-01,    0.10387E+03,
    0.64050E-01,    0.10392E+03,
    0.64550E-01,    0.10398E+03,
    0.65050E-01,    0.10403E+03,
    0.65550E-01,    0.10408E+03,
    0.66050E-01,    0.10412E+03,
    0.66550E-01,    0.10416E+03,
    0.67050E-01,    0.10422E+03,
    0.67550E-01,    0.10427E+03,
    0.68050E-01,    0.10432E+03,
    0.68550E-01,    0.10438E+03,
    0.69050E-01,    0.10444E+03,
    0.69550E-01,    0.10447E+03,
    0.70050E-01,    0.10451E+03,
    0.70550E-01,    0.10456E+03,
    0.71050E-01,    0.10460E+03,
    0.71550E-01,    0.10464E+03,
    0.72050E-01,    0.10471E+03,
    0.72550E-01,    0.10474E+03,
    0.73050E-01,    0.10479E+03,
    0.73550E-01,    0.10483E+03,
    0.74050E-01,    0.10490E+03,
    0.74550E-01,    0.10494E+03,
    0.75050E-01,    0.10498E+03,
    0.75550E-01,    0.10503E+03,
    0.76050E-01,    0.10505E+03,
    0.76550E-01,    0.10510E+03,
    0.77050E-01,    0.10513E+03,
    0.77550E-01,    0.10516E+03,
    0.78050E-01,    0.10521E+03,
    0.78550E-01,    0.10526E+03,
    0.79050E-01,    0.10529E+03,
    0.79550E-01,    0.10534E+03,
    0.80050E-01,    0.10538E+03,
    0.80550E-01,    0.10541E+03,
    0.81050E-01,    0.10544E+03,
    0.81550E-01,    0.10550E+03,
    0.82050E-01,    0.10553E+03,
    0.82550E-01,    0.10556E+03,
    0.83050E-01,    0.10558E+03,
    0.83550E-01,    0.10562E+03,
    0.84050E-01,    0.10565E+03,
    0.84550E-01,    0.10570E+03,
    0.85050E-01,    0.10574E+03,
    0.85550E-01,    0.10575E+03,
