        time[s],    volint[cm3],
    0.50000E-04,    0.99916E+03,
    0.55000E-03,    0.99915E+03,
    0.10500E-02,    0.99918E+03,
    0.15500E-02,    0.99934E+03,
    0.20500E-02,    0.99948E+03,
    0.25500E-02,    0.99956E+03,
    0.30500E-02,    0.99971E+03,
    0.35500E-02,    0.99962E+03,
    0.40500E-02,    0.99861E+03,
    0.45500E-02,    0.99620E+03,
    0.50500E-02,    0.99288E+03,
    0.55500E-02,    0.98786E+03,
    0.60500E-02,    0.98023E+03,
    0.65500E-02,    0.97054E+03,
    0.70500E-02,    0.95975E+03,
    0.75500E-02,    0.94731E+03,
    0.80500E-02,    0.93196E+03,
    0.85500E-02,    0.91363E+03,
    0.90500E-02,    0.89342E+03,
    0.95500E-02,    0.87029E+03,
    0.10050E-01,    0.84285E+03,
    0.10550E-01,    0.81233E+03,
    0.11050E-01,    0.77942E+03,
    0.11550E-01,    0.74351E+03,
    0.12050E-01,    0.70438E+03,
    0.12550E-01,    0.66317E+03,
    0.13050E-01,    0.62074E+03,
    0.13550E-01,    0.57700E+03,
    0.14050E-01,    0.53170E+03,
    0.14550E-01,    0.48535E+03,
    0.15050E-01,    0.43859E+03,
    0.15550E-01,    0.39213E+03,
    0.16050E-01,    0.34776E+03,
    0.16550E-01,    0.30776E+03,
    0.17050E-01,    0.27308E+03,
    0.17550E-01,    0.24233E+03,
    0.18050E-01,    0.21438E+03,
    0.18550E-01,    0.18889E+03,
    0.19050E-01,    0.16526E+03,
    0.19550E-01,    0.14267E+03,
    0.20050E-01,    0.12050E+03,
    0.20550E-01,    0.10394E+03,
    0.21050E-01,    0.94446E+02,
    0.21550E-01,    0.89993E+02,
    0.22050E-01,    0.89314E+02,
    0.22550E-01,    0.89732E+02,
    0.23050E-01,    0.90255E+02,
    0.23550E-01,    0.90807E+02,
    0.24050E-01,    0.91299E+02,
    0.24550E-01,    0.91748E+02,
    0.25050E-01,    0.92051E+02,
    0.25550E-01,    0.92352E+02,
    0.26050E-01,    0.92638E+02,
    0.26550E-01,    0.92876E+02,
    0.27050E-01,    0.93163E+02,
    0.27550E-01,    0.93453E+02,
    0.28050E-01,    0.93714E+02,
    0.28550E-01,    0.93932E+02,
    0.29050E-01,    0.94129E+02,
    0.29550E-01,    0.94346E+02,
    0.30050E-01,    0.94576E+02,
    0.30550E-01,    0.94748E+02,
    0.31050E-01,    0.94947E+02,
    0.31550E-01,    0.95154E+02,
    0.32050E-01,    0.95295E+02,
    0.32550E-01,    0.95481E+02,
    0.33050E-01,    0.95623E+02,
    0.33550E-01,    0.95792E+02,
    0.34050E-01,    0.95915E+02,
    0.34550E-01,    0.96039E+02,
    0.35050E-01,    0.96198E+02,
    0.35550E-01,    0.96305E+02,
    0.36050E-01,    0.96418E+02,
    0.36550E-01,    0.96532E+02,
    0.37050E-01,    0.96655E+02,
    0.37550E-01,    0.96754E+02,
    0.38050E-01,    0.96857E+02,
    0.38550E-01,    0.96955E+02,
    0.39050E-01,    0.97047E+02,
    0.39550E-01,    0.97131E+02,
    0.40050E-01,    0.97215E+02,
    0.40550E-01,    0.97311E+02,
    0.41050E-01,    0.97391E+02,
    0.41550E-01,    0.97472E+02,
    0.42050E-01,    0.97562E+02,
    0.42550E-01,    0.97650E+02,
    0.43050E-01,    0.97719E+02,
