time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-27 00:00:00+00:00,9,9,7.0,3.0
2025-10-28 00:00:00+00:00,7,7,13.0,2.0
2025-10-29 00:00:00+00:00,2,2,53.0,5.0
2025-10-30 00:00:00+00:00,18,13,3.0,3.0
2025-10-31 00:00:00+00:00,3,3,29.0,4.0
2025-11-01 00:00:00+00:00,9,4,1.0,1.0
2025-11-02 00:00:00+00:00,4,4,2.0,2.0
2025-11-03 00:00:00+00:00,11,5,19.0,5.0
2025-11-04 00:00:00+00:00,16,10,1.0,1.0
2025-11-05 00:00:00+00:00,15,8,18.0,4.0
2025-11-06 00:00:00+00:00,5,5,4.0,1.0
2025-11-07 00:00:00+00:00,12,7,13.0,2.0
2025-11-08 00:00:00+00:00,5,5,2.0,2.0
2025-11-09 00:00:00+00:00,9,4,,
