time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-09 00:00:00+00:00,11,6,4,2
2026-01-10 00:00:00+00:00,13,9,0,0
2026-01-11 00:00:00+00:00,13,5,7,4
2026-01-12 00:00:00+00:00,4,4,4,4
2026-01-13 00:00:00+00:00,21,11,6,3
2026-01-14 00:00:00+00:00,4,4,9,5
2026-01-15 00:00:00+00:00,35,12,67,9
2026-01-16 00:00:00+00:00,8,4,22,6
2026-01-17 00:00:00+00:00,14,8,1,1
2026-01-18 00:00:00+00:00,18,8,0,0
2026-01-19 00:00:00+00:00,11,7,3,3
2026-01-20 00:00:00+00:00,18,11,14,7
2026-01-21 00:00:00+00:00,70,17,22,6
2026-01-22 00:00:00+00:00,13,6,2,2
