name,IUPAC_name,CAS,A,B,C,Tmin,Tmax,C-atoms,H-atoms,O-atoms,density,HoV,kind,RON,MON,SMILES,AT0,AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8,AT9,AT10,AT11,AT12,AT13,AT14,AT15,AT16,AT17
CH3COOCH3,methylacetate,79-20-9,7.28036,1276.29,233.155,-98,233.65,3,6,2,0.927,30.612,ester,NA,NA,COC(C)=O,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0
C3H8,propane,74-98-6,7.01887,889.864,257.084,-187.69,96.67,3,8,0,0.493,18.799,paraffin,NA,NA,CCC,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
NC3H7OH,1-propanol,71-23-8,7.77374,1518.16,213.076,-73.15,263.56,3,8,1,0.802,41.38,alcohol,104,89,CCCO,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
IC3H7OH,2-propanol,67-63-0,7.83056,1483.3,217.413,-87.87,235.16,3,8,1,0.783,39.87,alcohol,112.5,96.7,CC(C)O,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1
IC4H8,2-methylpropene,115-11-7,6.99506,984.226,246.124,-140.34,144.75,4,8,0,0.589,22.213,olefin,NA,NA,CC(C)=C,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
C4H8-2,trans-2-butene,624-64-6,7.06654,1038.12,247.135,-105.53,155.48,4,8,0,0.599,22.905,olefin,NA,NA,C\\C=C\\C,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
C4H8-1,1-butene,106-98-9,7.0342,1013.6,250.292,-185.35,146.44,4,8,0,0.588,22.443,olefin,97.4,80.8,CCC=C,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
C2H5COCH3,2-butanone,78-93-3,7.20103,1325.15,227.093,-85,262.35,4,8,1,0.799,31.221,ketone,111,105.5,CCC(C)=O,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0
ETHACET,ethylacetate,141-78-6,7.25963,1338.46,228.608,-83.55,250.15,4,8,2,0.894,32.231,ester,NA,NA,CCOC(C)=O,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0
IC4H10,iso-butane,75-28-5,6.93388,953.92,247.077,-159.61,134.99,4,10,0,0.552,21.396,iso-paraffin,NA,NA,CC(C)C,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
C4H10,n-butane,106-97-8,7.00961,1022.48,248.145,-138.29,152.03,4,10,0,0.573,22.435,paraffin,93.8,89.6,CCCC,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
IC4H9OH,2-methyl-1-propanol,78-83-1,7.16064,1164.33,164.392,-39,274.63,4,10,1,0.797,47.688,alcohol,105,90,CC(C)CO,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1
